year,city,country,city,local_avg_temp,global_avg_temp
1849,San Jose,United States,San Jose,14.12,7.98
1850,San Jose,United States,San Jose,13.80,7.90
1851,San Jose,United States,San Jose,14.39,8.18
1852,San Jose,United States,San Jose,13.81,8.10
1853,San Jose,United States,San Jose,14.40,8.04
1854,San Jose,United States,San Jose,13.98,8.21
1855,San Jose,United States,San Jose,14.20,8.11
1856,San Jose,United States,San Jose,14.10,8.00
1857,San Jose,United States,San Jose,14.78,7.76
1858,San Jose,United States,San Jose,14.19,8.10
1859,San Jose,United States,San Jose,13.71,8.25
1860,San Jose,United States,San Jose,13.81,7.96
1861,San Jose,United States,San Jose,14.88,7.85
1862,San Jose,United States,San Jose,14.43,7.56
1863,San Jose,United States,San Jose,14.43,8.11
1864,San Jose,United States,San Jose,15.18,7.98
1865,San Jose,United States,San Jose,14.32,8.18
1866,San Jose,United States,San Jose,14.67,8.29
1867,San Jose,United States,San Jose,14.46,8.44
1868,San Jose,United States,San Jose,14.25,8.25
1869,San Jose,United States,San Jose,14.57,8.43
1870,San Jose,United States,San Jose,14.19,8.20
1871,San Jose,United States,San Jose,14.34,8.12
1872,San Jose,United States,San Jose,14.63,8.19
1873,San Jose,United States,San Jose,14.46,8.35
1874,San Jose,United States,San Jose,14.09,8.43
1875,San Jose,United States,San Jose,14.76,7.86
1876,San Jose,United States,San Jose,14.44,8.08
1877,San Jose,United States,San Jose,15.03,8.54
1878,San Jose,United States,San Jose,14.37,8.83
1879,San Jose,United States,San Jose,14.20,8.17
1880,San Jose,United States,San Jose,13.22,8.12
1881,San Jose,United States,San Jose,14.39,8.27
1882,San Jose,United States,San Jose,13.58,8.13
1883,San Jose,United States,San Jose,13.93,7.98
1884,San Jose,United States,San Jose,14.05,7.77
1885,San Jose,United States,San Jose,15.05,7.92
1886,San Jose,United States,San Jose,14.58,7.95
1887,San Jose,United States,San Jose,14.38,7.91
1888,San Jose,United States,San Jose,14.70,8.09
1889,San Jose,United States,San Jose,14.81,8.32
1890,San Jose,United States,San Jose,14.05,7.97
1891,San Jose,United States,San Jose,14.46,8.02
1892,San Jose,United States,San Jose,14.05,8.07
1893,San Jose,United States,San Jose,13.40,8.06
1894,San Jose,United States,San Jose,13.80,8.16
1895,San Jose,United States,San Jose,13.95,8.15
1896,San Jose,United States,San Jose,14.22,8.21
1897,San Jose,United States,San Jose,13.81,8.29
1898,San Jose,United States,San Jose,13.77,8.18
1899,San Jose,United States,San Jose,14.04,8.40
1900,San Jose,United States,San Jose,14.64,8.50
1901,San Jose,United States,San Jose,14.34,8.54
1902,San Jose,United States,San Jose,14.07,8.30
1903,San Jose,United States,San Jose,14.12,8.22
1904,San Jose,United States,San Jose,14.50,8.09
1905,San Jose,United States,San Jose,14.39,8.23
1906,San Jose,United States,San Jose,14.81,8.38
1907,San Jose,United States,San Jose,14.34,7.95
1908,San Jose,United States,San Jose,14.01,8.19
1909,San Jose,United States,San Jose,14.05,8.18
1910,San Jose,United States,San Jose,14.17,8.22
1911,San Jose,United States,San Jose,13.46,8.18
1912,San Jose,United States,San Jose,13.95,8.17
1913,San Jose,United States,San Jose,14.38,8.30
1914,San Jose,United States,San Jose,14.33,8.59
1915,San Jose,United States,San Jose,14.30,8.59
1916,San Jose,United States,San Jose,13.61,8.23
1917,San Jose,United States,San Jose,14.06,8.02
1918,San Jose,United States,San Jose,14.14,8.13
1919,San Jose,United States,San Jose,13.60,8.38
1920,San Jose,United States,San Jose,13.72,8.36
1921,San Jose,United States,San Jose,14.24,8.57
1922,San Jose,United States,San Jose,13.61,8.41
1923,San Jose,United States,San Jose,14.13,8.42
1924,San Jose,United States,San Jose,14.10,8.51
1925,San Jose,United States,San Jose,14.34,8.53
